模块,详细功能说明,简要价值,"私有基础版 (¥3,800)","SaaS 买断版 (¥4,500)","私有专业版 (¥9,800)",私有企业版 (¥1.8w+)
核心看板,仪表盘 (Dashboard): 总数、出租率、红黄绿预警汇总,一眼看清运营健康状况,✅,✅,✅,✅
,房态看板 (Grid View): 2D高密度视图，实时颜色状态变化,像玩游戏一样管理数百间房,✅,✅,✅,✅
房源管理,房源列表 (List View): 基础数据录入、搜索、状态追踪,精细化管理房源档案,✅,✅,✅,✅
,批量管理: 一键标记托管/维护/非业主房源,大幅降低重复录入工作量,✅,✅,✅,✅
租务管理,租客档案 (Tenant): 电子名片、收租日、起租日管理,租客信息随手查，不遗漏,✅,✅,✅,✅
,合同管理 (Contract): 周期管理、到期自动提醒,告别纸质合同丢失，提前止损,✅,✅,✅,✅
,AI 智能录入: 拍摄合同自动识别(OCR)并填表,秒级录入，识别准确率高,❌,❌,✅,✅
财务支付,财务流水 (Finance): 营收摘要、支付渠道区分,账目清晰，拒绝糊涂账,✅,✅,✅,✅
,智能催缴中心 (Collection Hub): 全链路回执追踪,催没催、看没看，后台全知道,✅,✅,✅,✅
,短信一键催收 (SMS): 模板化群发、已读回执标记,专业话术，比人工催更有力,✅,✅,✅,✅
,公共支付页 (Public Payment): 租客扫码即付,缩短支付链路，提升回款速度,✅,✅,✅,✅
维护服务,报修系统 (Maintenance): 工单流转、维修成本追踪,服务流程标准化，维护有据可查,✅,✅,✅,✅
智能分析,AI 运营助理: 自动分析数据并给出经营建议,您的 7x24 小时 AI 运营专家,❌,❌,✅,✅
数据处理,标准模板 (Templates): 多套行业模板快速套用,开箱即用，无需配置,✅,✅,✅,✅
安全中心,端到端加密 (E2EE): 本地密钥加密敏感数据,最高级别隐私保护，数据归自己,❌,✅,✅,✅
交付说明,部署方式,,私有化部署,SaaS 云端 (零配置),私有化部署,私有化部署
,房源限制,,限 100 间,无限制,无限制,无限制
,服务支持,,基础维护,全托管维护,核心利润款(含AI分析),多员工协作+多门店定制
